net,total_cap_dnet,total_res,wire_R_true,wirelen_m3,wirelen_m1,wirelen_m2,n_via_v1,n_via_v2,wirelen_m5,wirelen_m4,n_via_v3,n_via_v4,R_analytic_metal,ape_B,bias_B_signed,ape_metal_only_vs_truth,R_analytic_full,ape_C,bias_C_signed,q
FE_OFN36_i_tv80_core_IR_5,5.39711,590.9715309999998,466.10013100000003,9.258,1.436,5.984,4,4.0,0.0,16.66,2.0,0.0,447.7790374423881,24.230015499276526,-24.230015499276526,3.9307205338699975,572.6464374423881,3.1008420196829585,-3.1008420196829585,Q4
FE_OFN37_i_tv80_core_IR_5,5.34382,952.9602389999999,502.841839,8.760000000000003,3.946000000000001,7.402999999999998,14,12.0,3.0700000000000003,14.594000000000001,8.0,2.0,498.91092562661606,47.64619705957993,-47.64619705957993,0.7817395189710795,949.015325626616,0.41396411014204804,-0.41396411014204804,Q4
FE_OFN38_n_104,0.449349,135.90750899999998,63.31010899999999,0.7300000000000001,1.612,2.5189999999999997,4,2.0,0.0,0.0,0.0,0.0,60.22757851343284,55.684877931628606,-55.684877931628606,4.868938839715395,132.82097851343283,2.2710522099019137,-2.2710522099019137,Q3
FE_OFN39_n_104,3.07171,432.1010339999999,268.02413400000006,9.696,1.256,2.6959999999999997,4,5.0,0.0,5.87,4.0,0.0,261.16369145791043,39.55957729601024,-39.55957729601024,2.5596361192196326,425.23659145791044,1.5886197907338215,-1.5886197907338215,Q4
FE_OFN3_i_tv80_core_BusAck,5.75607,1285.4148180000027,755.4441179999998,13.884000000000002,13.74999999999999,23.331999999999987,22,19.0,0.0,2.2600000000000002,2.0,0.0,673.4192682853729,47.610743329289086,-47.610743329289086,10.857831540443188,1203.3679682853729,6.3829083472281605,-6.3829083472281605,Q4
FE_OFN41_tstate_0,0.545219,162.53904,63.804639999999985,1.8200000000000003,1.166,2.027,4,4.0,0.0,0.0,0.0,0.0,63.89800766567165,60.68759378320946,-60.68759378320946,0.14633366111252133,162.62840766567166,0.05498227728652718,0.05498227728652718,Q3
FE_OFN42_i_tv80_core_BusA_2,1.54359,319.448443,168.440043,6.108,1.6640000000000001,1.4760000000000002,4,4.0,2.62,0.888,2.0,2.0,167.3818606126276,47.602856022488865,-47.602856022488865,0.6282249568010367,318.3862606126276,0.3325051070517781,-0.3325051070517781,Q4
FE_OFN44_n_2165,4.49253,764.8639459999996,429.45524600000016,11.950000000000001,4.218000000000001,8.014999999999997,12,10.0,0.0,7.660000000000001,5.0,0.0,417.8324394149253,45.37166490850315,-45.37166490850315,2.7064069407304054,753.2291394149254,1.5211602855541346,-1.5211602855541346,Q4
FE_OFN45_n_2439,8.16164,1435.3056280000003,805.1350280000004,12.566000000000003,6.846000000000001,6.089999999999999,16,16.0,7.49,27.118,13.0,5.0,793.630679772212,44.7065026228538,-44.7065026228538,1.428871906910543,1423.7852797722119,0.8026407758075352,-0.8026407758075352,Q4
FE_OFN46_n_2442,7.42217,1324.8418960000006,732.423396,16.761999999999997,5.0,6.259999999999999,15,15.0,10.1,16.752,12.0,5.0,727.2187246701804,45.10901815033028,-45.10901815033028,0.7106096498615365,1319.6222246701802,0.39398447056812846,-0.39398447056812846,Q4
FE_OFN47_i_tv80_core_n_214,6.28716,875.9724819999996,547.8186820000001,19.448,2.3320000000000003,4.278,8,7.0,5.78,7.832,7.0,4.0,530.3048763171457,39.46101193654323,-39.46101193654323,3.1970077433128417,858.4506763171458,2.0002689631126698,-2.0002689631126698,Q4
FE_OFN48_mcycle_1,6.92194,1009.6996549999999,682.9992550000001,16.248,2.7360000000000007,5.266999999999999,9,8.0,4.33,23.038000000000004,7.0,2.0,692.0182456987387,31.462961062541037,-31.462961062541037,1.3204978823496172,1018.7096456987388,0.89234364438194,0.89234364438194,Q4
FE_OFN4_i_tv80_core_n_3552,7.24323,991.5166449999997,688.0464450000001,11.95,2.018,8.010999999999997,7,9.0,20.570000000000004,10.074000000000002,6.0,2.0,702.2008697069274,29.179114314623774,-29.179114314623774,2.0571902972229337,1005.6640697069272,1.4268469196427358,1.4268469196427358,Q4
FE_OFN51_i_tv80_core_n_17088,2.35079,668.4026310000002,476.7474309999999,2.62,13.137999999999996,15.111999999999998,12,4.0,0.0,0.0,0.0,0.0,373.6861647701492,44.09265501976321,-44.09265501976321,21.617581874258846,565.3293647701493,15.420834905398642,-15.420834905398642,Q4
FE_OFN52_i_tv80_core_ALU_Op_r_0,2.0104,438.3500750000002,188.60727500000004,4.951999999999999,2.242,3.322,8,8.0,0.0,3.4300000000000006,4.0,0.0,181.82482425910447,58.520635759192146,-58.520635759192146,3.596070586829468,431.55962425910445,1.5490930943483285,-1.5490930943483285,Q4
